Sub-Category,Demand_Segment,Total_Sales,Growth_Rate,Average_Order_Value
Accessories,Declining / Mature Demand,69913.68,60.76945860279904,1456.5349999999999
Appliances,Declining / Mature Demand,35826.749,26.54181272243171,778.8423695652175
Art,Declining / Mature Demand,12507.324,22.0255570263335,260.56925
Binders,Declining / Mature Demand,64742.922,52.68477877458238,1348.810875
Bookcases,Declining / Mature Demand,41278.8721,3.0778414349014143,1086.286107894737
Chairs,Emerging Demand,122626.94499999999,-7.3848541180156655,2554.728020833333
Copiers,"High Volume, Stable Demand",55739.122,-75.27759129444205,2533.596454545455
Envelopes,Growing Demand,5751.942,-68.03219970516491,143.79855
Fasteners,Growing Demand,1245.312,-6.673292768660145,31.93107692307692
Furnishings,Declining / Mature Demand,32888.752,27.63773163392284,685.1823333333333
Labels,Declining / Mature Demand,5698.298,35.194311366763884,121.2403829787234
Machines,Emerging Demand,83658.196,3.573156866888615,2884.7653793103445
Paper,Declining / Mature Demand,29736.306,48.26299300489819,619.506375
Phones,Emerging Demand,124533.092,-16.733764714626208,2594.4394166666666
Storage,Emerging Demand,84433.206,23.136754105363813,1759.0251250000001
Supplies,Growing Demand,13014.102,-76.45279974095796,382.76770588235297
Tables,Emerging Demand,88768.3035,10.207078739002762,2219.2075875
